voteid,name,status,"manual",result
4690,Bullmann,attended,manual,92926
6499,Chinnici,attended,manual,92926
5952,Hübner,attended,manual,92926
6751,Jamet,attended,manual,92926
6686,Kaili,attended,manual,92926
6514,Karlsson,attended,manual,92926
6326,Jan Keller,attended,manual,92926
5450,Kohlíček,attended,manual,92926
4685,Leinen,attended,manual,92926
5105,Lewandowski,attended,manual,92926
5984,López Aguilar,attended,manual,92926
1133,David Martin,attended,manual,92926
6690,Mihaylova,attended,manual,92926
6497,Moi,attended,manual,92926
6537,Pitera,attended,manual,92926
5416,Saryusz-Wolski,attended,manual,92926
4482,Tajani,attended,manual,92926
6681,Tomc,attended,manual,92926
5420,Zwiefka,attended,manual,92926
6654,Albiol Guzmán,excused,manual,92926
6555,Atkinson,excused,manual,92926
,Crowley,excused,manual,92926
6558,Finch,excused,manual,92926
6023,Händel,excused,manual,92926
6483,Maydell,excused,manual,92926
6366,Monteiro de Aguiar,excused,manual,92926
5849,Morvai,excused,manual,92926
6092,Ponga,excused,manual,92926
6728,Punset,excused,manual,92926
